Name;NoF;CTC;eCTC;packTime
500-15-5-1;500;15;5;747
500-15-5-2;500;15;5;186
500-15-5-3;500;15;5;703
500-15-5-4;500;15;5;1102
500-15-5-5;500;15;5;958
500-15-5-6;500;15;5;1062
500-15-5-7;500;15;5;985
500-15-5-8;500;15;5;1319
500-15-5-9;500;15;5;581
1000-5-0-0;1000;5;0;4964
1000-5-0-1;1000;5;0;5033
1000-5-0-2;1000;5;0;4872
1000-5-0-3;1000;5;0;4834
1000-5-0-4;1000;5;0;5124
1000-5-0-5;1000;5;0;4385
1000-5-0-6;1000;5;0;4739
1000-5-0-7;1000;5;0;5170
1000-5-0-8;1000;5;0;5096
1000-5-0-9;1000;5;0;3625
1000-5-2-0;1000;5;2;4989
1000-5-2-1;1000;5;2;4765
1000-5-2-2;1000;5;2;3804
1000-5-2-3;1000;5;2;3440
1000-5-2-4;1000;5;2;5204
1000-5-2-5;1000;5;2;4726
1000-5-2-6;1000;5;2;973
1000-5-2-7;1000;5;2;4674
1000-5-2-8;1000;5;2;4611
1000-5-2-9;1000;5;2;5071
1000-5-5-0;1000;5;5;4710
1000-5-5-1;1000;5;5;4258
1000-5-5-2;1000;5;5;2162
1000-5-5-3;1000;5;5;3729
1000-5-5-4;1000;5;5;4519
1000-5-5-5;1000;5;5;4378
1000-5-5-6;1000;5;5;3987
1000-5-5-7;1000;5;5;4280
1000-5-5-8;1000;5;5;4730
1000-5-5-9;1000;5;5;4534
1000-10-0-0;1000;10;0;4918
1000-10-0-1;1000;10;0;5088
1000-10-0-2;1000;10;0;4782
1000-10-0-3;1000;10;0;5134
1000-10-0-4;1000;10;0;5211
1000-10-0-5;1000;10;0;4826
1000-10-0-6;1000;10;0;4912
1000-10-0-7;1000;10;0;5320
1000-10-0-8;1000;10;0;4933
1000-10-0-9;1000;10;0;2741
1000-10-2-0;1000;10;2;1247
1000-10-2-1;1000;10;2;4979
1000-10-2-2;1000;10;2;5032
1000-10-2-3;1000;10;2;5243
1000-10-2-4;1000;10;2;1584
1000-10-2-5;1000;10;2;4025
1000-10-2-6;1000;10;2;5270
