Name;NoF;CTC;eCTC;pruProp;pruTime;priProp;priTime;packTime
50-15-2-3;50;15;2;1;10;1;10;13
50-15-2-4;50;15;2;0;12;0;11;14
50-15-2-5;50;15;2;1;9;1;8;11
50-15-2-6;50;15;2;0;7;1;8;12
50-15-2-7;50;15;2;1;8;1;10;12
50-15-2-8;50;15;2;1;13;0;11;13
50-15-2-9;50;15;2;1;3;1;4;7
50-15-5-0;50;15;5;0;12;1;12;17
50-15-5-1;50;15;5;0;11;1;11;14
50-15-5-2;50;15;5;1;7;1;5;7
50-15-5-3;50;15;5;1;4;1;6;8
50-15-5-4;50;15;5;1;0;1;1;2
50-15-5-5;50;15;5;1;1;1;0;2
50-15-5-6;50;15;5;1;7;1;7;10
50-15-5-7;50;15;5;0;5;1;6;10
50-15-5-8;50;15;5;0;5;1;7;10
50-15-5-9;50;15;5;0;9;0;12;16
100-5-0-0;100;5;0;2;44;2;56;76
100-5-0-1;100;5;0;1;46;2;45;58
100-5-0-2;100;5;0;2;31;1;40;48
100-5-0-3;100;5;0;1;38;1;44;56
100-5-0-4;100;5;0;1;47;1;49;61
100-5-0-5;100;5;0;1;51;2;48;66
100-5-0-6;100;5;0;1;39;1;49;65
100-5-0-7;100;5;0;1;41;2;51;69
100-5-0-8;100;5;0;1;49;1;60;82
100-5-0-9;100;5;0;2;32;2;46;57
100-5-2-0;100;5;2;2;39;2;44;62
100-5-2-1;100;5;2;2;19;1;21;29
100-5-2-2;100;5;2;1;47;2;44;55
100-5-2-3;100;5;2;1;26;3;31;44
100-5-2-4;100;5;2;2;35;3;30;42
100-5-2-5;100;5;2;1;42;2;50;69
100-5-2-6;100;5;2;2;43;2;47;64
100-5-2-7;100;5;2;1;38;2;39;48
100-5-2-8;100;5;2;1;39;2;37;46
100-5-2-9;100;5;2;2;9;4;10;19
100-5-5-0;100;5;5;1;40;3;41;52
100-5-5-1;100;5;5;1;40;2;38;47
100-5-5-2;100;5;5;2;36;2;37;47
100-5-5-3;100;5;5;1;25;2;25;35
100-5-5-4;100;5;5;1;36;2;43;58
100-5-5-5;100;5;5;1;38;2;48;61
100-5-5-6;100;5;5;1;43;2;38;46
100-5-5-7;100;5;5;2;21;2;26;35
100-5-5-8;100;5;5;1;33;1;36;45
100-5-5-9;100;5;5;2;31;2;45;52
100-10-0-0;100;10;0;2;34;2;42;51
100-10-0-1;100;10;0;2;39;3;34;45
100-10-0-2;100;10;0;1;43;1;60;77
100-10-0-3;100;10;0;1;34;2;43;55
100-10-0-4;100;10;0;1;38;2;39;52
100-10-0-5;100;10;0;2;9;3;11;19
100-10-0-6;100;10;0;1;51;1;42;49
100-10-0-7;100;10;0;1;44;2;55;58
100-10-0-8;100;10;0;1;28;2;27;34
100-10-0-9;100;10;0;1;22;3;20;28
100-10-2-0;100;10;2;2;41;2;45;51
100-10-2-1;100;10;2;2;14;4;13;24
